product_id,product_name,product_category,product_subcategory,brand,unit_price,unit_cost,supplier_id,stock_quantity,reorder_level,is_active,created_date
101,Wireless Mouse,Electronics,Computer Accessories,TechPro,29.99,15.00,1001,250,50,true,2023-01-01
102,Mechanical Keyboard,Electronics,Computer Accessories,TechPro,89.99,45.00,1001,150,30,true,2023-01-01
103,USB-C Hub,Electronics,Computer Accessories,ConnectPlus,45.99,22.50,1002,180,40,true,2023-01-05
104,Laptop Stand,Electronics,Computer Accessories,ErgoTech,59.99,28.00,1003,120,25,true,2023-01-10
105,Webcam HD,Electronics,Video Equipment,VisionCam,79.99,38.00,1004,95,20,true,2023-01-15
106,Desk Lamp LED,Home & Office,Lighting,BrightLight,34.99,16.50,1005,200,45,true,2023-01-01
107,Ergonomic Chair,Home & Office,Furniture,ComfortSeat,299.99,150.00,1006,45,10,true,2023-01-20
108,Standing Desk,Home & Office,Furniture,ErgoTech,449.99,225.00,1003,30,8,true,2023-01-25
109,Noise Cancelling Headphones,Electronics,Audio,SoundMax,199.99,95.00,1007,85,18,true,2023-02-01
110,Portable SSD 1TB,Electronics,Storage,DataStore,129.99,62.00,1008,140,30,true,2023-02-05
111,4K Monitor 27inch,Electronics,Displays,ViewPro,399.99,195.00,1009,60,12,true,2023-02-10
112,Wireless Charger,Electronics,Mobile Accessories,ChargeFast,24.99,11.50,1010,300,60,true,2023-02-15
113,Smart Speaker,Electronics,Smart Home,VoiceHub,89.99,42.00,1011,175,35,true,2023-02-20
114,Desk Organizer,Home & Office,Organization,NeatSpace,19.99,8.50,1012,225,50,true,2023-03-01
115,Coffee Mug Warmer,Home & Office,Kitchen,WarmUp,22.99,10.00,1013,190,40,true,2023-03-05
116,Blue Light Glasses,Health & Wellness,Eye Care,ClearView,39.99,18.00,1014,160,35,true,2023-03-10
117,Fitness Tracker,Health & Wellness,Wearables,FitLife,79.99,36.00,1015,110,25,true,2023-03-15
118,Water Bottle,Health & Wellness,Hydration,HydroFlow,24.99,11.00,1016,280,55,true,2023-03-20
119,Yoga Mat,Health & Wellness,Fitness,FlexFit,34.99,15.50,1017,145,30,true,2023-03-25
120,Resistance Bands Set,Health & Wellness,Fitness,FlexFit,29.99,13.00,1017,170,35,true,2023-04-01
