purchase_id,transaction_timestamp,store_id,product_id,product_name,quantity,unit_price,extended_price,payment_method
1001,2025-01-01 08:15:23,1,P101,Whole Milk,2,2.49,4.98,CREDIT
1002,2025-01-01 08:17:10,1,P202,Banana (lb),1,0.59,0.59,CASH
1003,2025-01-01 09:05:58,1,P303,White Bread,1,1.99,1.99,DEBIT
1004,2025-01-01 09:06:05,1,P404,Eggs (Dozen),1,2.99,2.99,DEBIT
1005,2025-01-01 09:45:10,2,P505,Cheddar Cheese (lb),1,4.50,4.50,CREDIT
1006,2025-01-02 10:00:00,2,P606,Ground Beef (lb),2,3.79,7.58,CASH
1007,2025-01-02 10:15:45,2,P707,Apples (lb),3,1.29,3.87,CREDIT
1008,2025-01-02 11:07:12,1,P808,Orange Juice (64 oz),1,3.49,3.49,DEBIT
1009,2025-01-03 08:55:09,2,P909,Whole Chicken,1,6.99,6.99,CREDIT
1010,2025-01-03 09:30:15,2,P202,Banana (lb),2,0.59,1.18,CASH
1011,2025-01-03 09:45:00,1,P101,Whole Milk,1,2.49,2.49,DEBIT
1012,2025-01-03 17:22:33,1,P999,Beer (6-pack),1,7.99,7.99,CREDIT
1013,2025-01-04 12:00:00,2,P808,Orange Juice (64 oz),2,3.49,6.98,CREDIT
1014,2025-01-04 12:10:45,2,P404,Eggs (Dozen),2,2.99,5.98,CASH
1015,2025-01-04 15:05:55,1,P111,Greek Yogurt,4,1.25,5.00,DEBIT
1016,2025-01-05 08:10:10,1,P303,White Bread,2,1.99,3.98,CREDIT
1017,2025-01-05 08:15:32,1,P101,Whole Milk,1,2.49,2.49,CREDIT
1018,2025-01-05 08:18:50,2,P202,Banana (lb),1,0.59,0.59,CASH
1019,2025-01-05 18:40:01,2,P212,Spinach (bag),1,2.79,2.79,DEBIT
1020,2025-01-05 18:55:30,1,P313,Chocolate Bar,3,1.50,4.50,CREDIT
